Symptom,Description,English_Symptoms
Sandhishula,Joint pain.,"Joint_Pain,Swelling,Stiffness,Reduced_Range_of_Motion,Systemic_Symptoms"
Urushula,Thigh pain.,"Throbbing,Difficulty_walking,Swelling,Tenderness,Restricted_movement,Numbness_,Tingling,Warmth,Redness_in_the_Thigh"
Angavedana,Body pain.,"Intense_Pain,Throbbing_or_Pulsating_Pain,Increased_Sensitivity,Redness_or_Swelling,Restricted_Movement"
Pravahika,Dysentery.,"Loose_Stools,Increased_Frequency,Abdominal_Cramps,Urgency,Nausea,Weakness_and_Fatigue"
Kaphavatajanadivrana,Wounds with Kapha and Vata involvement.,"Dryness,Reduced_Healing_Capacity,Cracking,Numbness,Discharge,Change_in_Skin_Color"
Pangu,Limping.,"Limping,Limited_Range_of_Motion,Deformity,Muscle_Weakness,Balance_Issues,Functional_Impairment"
Pama,Filariasis.,"Swelling,Fever,Lymphedema,Lymphadenitis,Skin_thickening,Pain,Redness,Fatigue,Malaise"
Shvetapradara,White discharge (leucorrhea).,"Abnormal_Vaginal_Discharge,Itching,Foul_Odor,Burning_Sensation,Lower_Abdominal_Pain"
Galaroga,Goiter.,"Sore_Throat,Difficulty_Swallowing,Hoarseness_of_Voice,Cough,Throat_Itching,Excessive_Salivation"
Raktajpravahika,Hemorrhagic diarrhea.,"Bleeding_from_the_Rectum,Abdominal_Pain,Diarrhea,Tenesmus,Anemia,Weight_Loss"
Kampa,Tremors.,"Neurological_Disorders,Vata_Imbalance,Fear_or_Anxiety,Weakness,Involuntary_Muscle_Movements"
Abhishyanda,Ophthalmia.,"Redness_of_the_Eyes,Excessive_Tearing,Itching_Sensation,Burning_Sensation,Swelling_of_the_Eyelids"
Charmavikara,Skin disorders.,"Skin_Rash,Itching,Dry_Skin,Burning_Sensation,Pigmentation_Changes,Scaling_or_Peeling"
Pliha,Spleen disorders.,"Pain_or_Discomfort_in_the_Left_Upper_Abdomen,Enlarged_Spleen,Fullness_or_Heaviness_in_the_Abdomen,Fatigue"
Udarda,Urticaria.,"Skin_Rash,Itching,Burning_Sensation,Swelling,Redness,Change_in_Skin_Color,Varying_Shapes_and_Sizes"
Vidarika,Herpes.,"Small_Skin_Growths,Color_Variations,Rough_Texture,Itching_or_Discomfort"
Yakshma,Tuberculosis.,"Cough,Hemoptysis,Weight_Loss,Fatigue,Night_Sweats,Loss_of_Appetite"
Adhamana,Flatulence.,"Indigestion,Abdominal_Discomfort,Flatulence,Irregular_Bowel_Movements,Fatigue"
Moha,Delusion.,"Excessive_Attachment,Delusion,Lack_of_Discrimination,Irrational_Behavior,Dependence,Resistance_to_Change"
Striroga,Gynecological disorders.,"Menstrual_Irregularities,Dysmenorrhea,Amenorrhea,Pelvic_Pain"
Parinamshula,Colicky pain due to diet.,"Pain_Aggravated_by_Dietary_Changes,Distension_or_Bloating,Altered_Bowel_Habits,Nausea_or_Vomiting"
Somaroga,Diseases related to the moon (lunar disorders).,"Disorders_of_the_Urinary_System,Reproductive_System_Disorders,Conditions_Affecting_Fluid_Balance"
Manasadosha,Mental disorders.,"Anxiety,Depression,Insomnia,Mood_Swings,Memory_Impairment,Difficulty_Concentrating"
Kaphajavrana,Wounds with Kapha involvement.,"Swelling,Heaviness,Discharge,Whitish_or_Pale_Appearance,Itching"
Agnimandyaudararoga,Digestive weakness and abdominal disorders.,"Indigestion,Abdominal_Discomfort,Bloating,Flatulence,Fatigue"
Bhagandara,Fistula-in-ano.,"Pain_in_the_Anal_Region,Swelling_or_Lump,Pus_Discharge,Itching,Bleeding"
Smritiandbuddhivardhaka,Enhancing memory and intellect.,"Memory_Impairment,Cognitive_Decline,Difficulty_Concentrating,Forgetfulness"
Raktatisara,Blood diarrhea.,"Bloody_Stools,Diarrhea,Abdominal_Pain,Anemia,Dehydration"
Krimiroga,Worm infestations.,"Abdominal_Pain,Diarrhea,Constipation,Nausea_and_Vomiting,Weight_Loss"
Hritshula,Chest pain.,"Chest_Pain,Radiation_of_Pain,Breathlessness,Palpitations,Sweating"
Vriddhiroga,Aging-related diseases.,"Pain_or_Discomfort,Swelling,Change_in_Skin_Color,Restricted_Movement"
Sandhigatvata,Joint disorders due to Vata dosha.,"Joint_Pain,Stiffness,Cracking_or_Popping_Sounds,Reduced_Range_of_Motion,Tingling_or_Numbness"
Sutikavata,Postpartum Vata disorders.,"Body_Aches,Fatigue,Trembling_or_Shivering,Dryness,Constipation"
Katigraha,Lumbago.,"Stiffness,Reduced_Flexibility,Muscle_Weakness,Difficulty_Standing_or_Sitting_for_Prolonged_Periods"
Visuchika,Dysentery.,"Watery_Diarrhea,Vomiting,Dehydration,Rapid_Heart_Rate,Muscle_Cramps"
Mutrashmari,Kidney stones.,"Painful_Urination,Frequent_Urination,Hematuria,Straining_to_Urinate"
Murchha,Syncope.,"Sudden_Loss_of_Consciousness,Pale_or_Ashen_Skin_Tone,Cold_Sweating,Shallow_Breathing,Low_Blood_Pressure"
Rasayana,Rejuvenation.,"Enhanced_Immunity,Increased_Vitality,Improved_Memory_and_Cognitive_Function,Detoxification"
Hriddaurbalya,Heart weakness.,"Fatigue,Breathlessness,Palpitations,Chest_Discomfort"
Paktishula,Colicky pain due to digestion.,"Pain_in_the_Upper_Abdomen,Bloating_or_Fullness,Discomfort_during_Eating,Indigestion"
Bahushosha,Severe emaciation.,"Significant_Weight_Loss,Muscle_Atrophy,Fatigue_and_Weakness,Prominent_Bones"
Mutrasthila,Urinary retention.,"Painful_Urination,Foul-Smelling_Urine,Frequent_Urination,Fever_and_Chills"
Shitapitta,Urticaria.,"Itching,Sensitivity_to_Touch,Burning_Sensation,Swelling"
Aptantrak,Snakebite.,"pain,swelling,puncture_marks,nausea,vomiting,weakness,dizziness,difficulty_breathing,changes_in_heart_rate_and_blood_pressure,blurred_vision,difficulty_speaking,tingling_or_numbness,paralysis"
Arsha,Hemorrhoids.,"Pain_and_Discomfort,Bleeding,Swelling,Burning_Sensation,Itching"
Jvaratisara,Febrile dysentery.,"Fever,Loose_Stools_or_Diarrhea,Abdominal_Discomfort,Dehydration"
Ardita,Facial paralysis.,"Facial_Drooping,Inability_to_Close_the_Eye,Speech_Difficulties,Reduced_Sense_of_Taste"
Kanduvisphota,Itching and eruptions.,"Itching,Burning_Sensation,Eruption_of_Vesicles,Redness"
Pinasa,Sinusitis.,"Nasal_Congestion,Headache,Nasal_Discharge,Reduced_Sense_of_Smell"
Galaganda,Goiter.,"Swelling_in_the_Neck,Difficulty_Swallowing,Breathing_Difficulties,Throat_Discomfort,Coughing"
Asrigdara,Menorrhagia.,"Heavy_Menstrual_Flow,Prolonged_Menstrual_Periods,Frequent_Menstrual_Cycles,Intermenstrual_Bleeding"
Pittajanetraroga,Urinary disorders due to Pitta dosha.,"Tearing,Burning_Sensation,Redness,Blurred_Vision,Headache"
Mutraroga,Urinary disorders.,"Painful_Urination,Frequent_Urination,Difficulty_Initiating_Urination,Burning_Sensation"
Kshaya,Debility.,"Weight_Loss,Fatigue,Reduced_Immunity,Pale_or_Dull_Skin,Hair_and_Nail_Changes"
